issn,count,cited,citation
"1687-5869,1687-5877",845,409,1022
"1748-3387,1748-3395",845,633,28811
"1040-4651,1532-298X",845,711,10004
"1071-3581,1532-6551",844,469,1892
"0300-5771,1464-3685",844,625,4502
"0953-2048,1361-6668",843,644,3369
"0946-2171,1432-0649",843,578,2127
1695-4033,843,292,626
0003-004X,842,585,2322
"2161-1653,2161-1653",842,795,9009
"0271-678X,1559-7016",842,703,5936
1290-0729,841,707,5082
"1948-5875,1948-5875",841,647,4147
"0141-9870,1466-4356",841,247,689
1478-3223,840,644,3838
"0165-0009,1573-1480",840,680,4044
1994-0408,840,73,81
1871-1413,839,589,2034
0003-9861,839,707,4537
0018-9340,839,644,3796
1270-9638,839,629,2938
"1833-8119,1833-3850",838,143,224
1388-2481,838,752,6667
0021-9975,837,206,629
1997-7298,837,84,97
1759-6653,837,710,5199
"1364-5021,1471-2946",836,621,2699
"1054-660X,1555-6611",836,457,1328
"0934-9723,1435-4373",836,609,2900
1877-0320,836,118,199
0022-3999,836,440,2510
1462-8910,835,514,2468
"0141-5492,1573-6776",835,568,2214
"0344-5704,1432-0843",835,629,3058
0378-3774,835,704,3690
0919-8172,835,449,1652
1753-6561,835,214,440
1046-2023,834,746,5259
0022-314X,831,367,940
0939-6411,830,758,5848
1525-2027,829,690,4188
"1552-4450,1552-4469",829,523,9639
2211-1042,828,10,11
"0022-4928,1520-0469",828,705,4322
"0007-4861,1432-0800",828,555,1685
2214-109X,827,513,4791
"0268-1242,1361-6641",827,575,2816
"1091-6466,1532-2459",827,390,998
0166-0934,826,631,2450
0268-2575,826,616,2701
"1755-4330,1755-4349",826,620,17614
2151-464X,826,631,4322
0003-2778,825,18,24
"0931-041X,1432-198X",825,532,2238
"0033-2917,1469-8978",824,682,5030
2210-7789,823,46,77
0018-9251,822,493,2129
"2078-9599,2078-9181",821,34,43
1876-3820,820,224,529
0001-5555,820,518,1849
2213-8587,820,481,7267
"0733-9445,1943-541X",820,567,2009
0002-8703,819,655,5111
1350-6307,819,622,2394
0736-0266,818,606,2742
"1975-0080,1975-0080",818,124,197
"1022-9760,1572-8935",818,565,2118
"1359-6640,1364-5498",817,640,3467
"0002-9262,1476-6256",817,624,4003
0003-1488,817,417,1342
0014-4886,817,715,5924
"1557-1955,1557-1963",816,514,1968
"1226-7708,2092-6456",816,445,980
0890-5339,815,474,2476
"1935-0090,2325-0399",815,304,974
1474-4422,814,509,12364
0033-2496,814,16,18
0007-1250,814,476,3884
1809-127X,814,198,324
0140-7007,814,688,4333
2195-1071,813,593,5494
2047-9980,813,742,5888
"2320-3765,2278-8875",813,36,42
0969-9961,812,761,7196
0022-2828,812,699,6057
1078-0947,812,398,1093
2300-2697,812,43,51
2213-2945,812,76,156
"0023-2165,1439-3999",812,160,286
"0301-0449,1432-1998",812,501,1839
2114-0502,811,1,1
"0039-7911,1532-2432",811,617,1707
"1439-0108,1614-7480",810,576,2233
1568-4156,810,101,260
1936-878X,810,524,4673
"0022-1317,1465-2099",809,683,3651
1010-6030,809,661,3721
1364-8152,808,703,6083
"1931-7573,1556-276X",807,578,1981
"0954-3007,1476-5640",807,589,2852
0165-2370,806,685,4916
0026-7937,806,5,5
0175-8659,806,416,965
2222-1808,806,350,957
1231-4005,805,47,52
"2197-4578,1433-7266",805,15,16
0010-4825,804,601,2550
2168-8184,804,72,93
"1011-2367,1976-5517",804,436,1289
0930-7516,804,529,1818
"0090-6964,1573-9686",802,635,3130
0894-1777,802,673,4031
1382-6689,802,665,3270
"0363-6119,1522-1490",801,590,2743
"2010-1945,2010-1945",801,206,485
1582-1838,800,652,4573
0300-0664,800,595,2999
"1549-9596,1549-960X",800,713,5530
"0003-2719,1532-236X",800,491,1289
"1916-9760,1916-9752",800,120,142
"2314-8861,2314-7156",800,595,3069
0006-3592,800,665,4583
1931-3195,799,395,993
0378-4266,799,631,3477
0300-9084,799,693,4153
"0172-4614,1438-8782",798,137,390
"0724-8741,1573-904X",798,650,3609
0010-9452,798,690,5125
"0218-4923,1816-5370",796,277,555
"1018-4813,1476-5438",796,621,3414
"1947-2935,1947-2943",796,451,1261
"1755-7380,1755-7399",795,8,9
0906-6705,794,630,2904
2394-6032,794,13,15
"0921-8971,1573-5176",794,570,2167
"0170-0839,1436-2449",794,463,1431
0167-7012,794,598,2353
"1474-1776,1474-1784",794,381,9814
2287-5026,794,60,82
0892-6875,793,656,3228
0140-9883,793,664,4950
"1757-6180,1757-6199",793,638,2985
1040-5488,793,423,1432
"0029-3970,1471-6941",793,19,19
1568-0266,793,568,2763
"1749-4885,1749-4893",792,481,19600
"0027-0644,1520-0493",792,679,4192
0036-8423,791,18,25
2267-1242,791,42,48
0742-3071,791,618,3020
1057-9249,790,546,2391
0960-0779,790,526,2069
1741-7015,789,658,7478
"0892-7790,1557-900X",789,560,2610
0898-6568,789,702,4807
1076-2752,789,480,1849
1773-035X,788,10,15
0016-6480,788,657,3653
0165-7836,787,656,2840
0002-1962,787,494,1480
0309-2402,787,512,1968
0925-7535,787,659,3497
"0002-953X,1535-7228",787,452,6704
0169-1368,786,679,4492
"1075-5535,1557-7708",786,336,1079
1939-0114,786,367,1057
1532-0626,786,461,1361
"1913-9039,1913-9020",785,115,164
"1064-8887,1573-9228",785,308,643
0098-1354,785,657,4419
"0022-4715,1572-9613",785,485,1773
"1359-1053,1461-7277",783,461,1410
0742-4795,783,377,997
1034-4810,782,343,976
0149-7634,782,730,10605
2352-5800,781,13,17
"0270-7306,1098-5549",781,622,3487
"1044-0305,1879-1123",780,600,3502
2185-467X,780,28,36
"1612-2011,1612-202X",780,547,2386
0732-8893,780,616,2790
0921-8831,779,631,3526
0167-9473,779,555,2283
"0954-4054,2041-2975",779,376,891
"0385-4221,1348-8155",779,116,167
"0954-0121,1360-0451",778,522,1757
2045-7022,778,178,767
0142-2421,778,451,1324
"1535-9476,1535-9484",778,691,6710
"0941-8849,2195-6405",778,17,33
"0947-7349,1439-3646",778,189,544
0161-5890,778,645,4111
0143-974X,778,622,2708
"2314-6745,2314-6753",777,514,1812
1471-2377,777,570,2527
1687-1499,777,449,1425
0385-5414,777,531,1495
"2330-4022,2330-4022",777,707,7485
"0042-0980,1360-063X",777,452,2148
"1570-0755,1573-1332",777,544,2359
"0300-7995,1473-4877",776,555,2491
2155-9856,776,50,58
"1759-4812,1759-4820",776,280,1655
"1090-820X,1527-330X",776,441,1715
1229-5949,775,309,495
"0218-1274,1793-6551",775,419,1606
2387-0206,775,5,5
0275-665X,775,11,11
"1092-7875,1573-6628",774,487,1569
0738-3991,774,621,3352
"1083-6160,1520-586X",774,616,3734
1975-0102,774,331,722
1559-2324,773,506,1682
1742-2094,773,686,5553
"0938-0221,2196-6451",773,10,11
1920-1214,772,283,795
"1975-4094,1975-4094",772,138,227
0168-1699,772,591,2821
"1083-4435,1941-014X",772,641,5123
"2215-2075,0034-7744",771,324,847
1018-5941,771,199,369
0045-7906,771,486,2366
0308-0110,771,453,2449
0014-3820,771,608,4015
"0040-5175,1746-7748",770,430,1410
"1054-1500,1089-7682",770,579,2679
"2179-460X,0100-8307",770,18,19
1879-7261,770,4,4
"0302-766X,1432-0878",769,626,3239
1547-5654,769,559,2884
"1054-3139,1095-9289",768,636,3147
1351-5101,768,607,3493
0985-0562,767,54,78
"1751-8644,1751-8652",766,631,3878
"1304-2580,1875-9041",766,60,104
"1867-2132,2196-6443",766,4,4
0033-3506,765,462,1490
"0974-3618,0974-360X",765,26,40
0273-2300,765,594,3295
"0929-1873,1573-8469",765,454,1441
1600-5767,764,580,3089
0925-4439,764,676,6864
1074-7613,764,658,18138
"0886-022X,1525-6049",764,431,1169
0953-6205,763,478,2292
0398-0499,763,71,129
1077-4114,763,490,1433
"0741-3335,1361-6587",763,564,2687
"2090-004X,2090-0058",763,422,1253
0301-9268,762,669,5293
0921-4488,762,443,1220
"1047-9511,1467-1107",762,295,600
1555-4155,761,146,258
0008-4034,760,454,1280
0167-7055,760,510,2014
1876-6196,760,300,610
1872-2067,759,634,3527
"0020-7179,1366-5820",759,458,1988
"1674-7321,1869-1900",759,486,2049
1178-2005,759,375,1467
0041-624X,759,621,3216
1464-343X,759,532,1875
2375-2548,758,707,8131
"0036-0236,1531-8613",758,360,851
"2158-2440,2158-2440",757,209,437
"0734-2101,1520-8559",757,565,2032
0924-8579,757,615,3847
"1615-2921,1615-293X",757,16,21
"2040-2503,2040-2511",757,576,3020
"0976-0245,0976-5506",757,21,22
2073-4360,756,567,3027
0921-8009,756,645,4575
2045-7634,755,563,2716
"2151-4755,2151-4771",755,166,290
2202-4433,754,178,258
"0142-159X,1466-187X",754,425,1567
"1462-2203,1469-994X",754,531,2722
1673-5447,754,313,964
"1750-8460,1759-7390",754,147,236
"0014-2336,1573-5060",753,492,1524
"1434-6001,1434-601X",752,572,3177
0016-6731,752,612,4706
1999-4907,752,499,2123
"1011-372X,1572-879X",752,582,3193
"1543-3080,1543-5474",752,491,1833
"1017-7825,1738-8872",752,521,1806
"1617-4933,1618-3851",752,3,5
"1439-3557,2196-6435",751,4,5
1226-3311,751,355,878
"0549-4974,1884-2844",751,22,23
0044-457X,751,1,1
1004-9541,750,482,1554
0951-8320,749,649,4673
0895-4356,749,547,4215
"1735-1472,1735-2630",749,486,1788
"1674-733X,1869-1919",749,353,1023
"1022-0038,1572-8196",748,400,1442
"1951-6355,1951-6401",748,537,2409
0271-6798,748,373,1212
"1549-7747,1558-3791",748,502,2047
1471-2431,748,576,2570
0954-691X,748,484,1721
0305-750X,747,645,4645
2383-5281,746,37,42
0193-1091,746,387,1152
"0278-081X,1531-5878",746,411,1566
1750-1172,746,486,3018
0269-3879,746,481,1448
"1743-5889,1748-6963",746,663,4981
0378-4290,746,591,3541
0890-6238,746,403,1862
"0543-1972,1573-8906",745,113,219
1000-7032,745,46,50
"1752-0894,1752-0908",745,577,9632
0899-9007,745,600,3824
"0038-1586,1882-0166",744,42,52
"1932-8184,1937-9234,2373-7816",744,476,2455
"0026-9247,1434-4475",743,484,1342
0377-0273,743,605,3060
1941-7012,742,456,1454
"1359-5997,1871-6873",742,477,1628
"0724-4983,1433-8726",742,541,2366
1225-4568,742,405,1294
0003-682X,742,552,2258
2278-1021,742,83,106
1356-689X,741,298,1373
"2156-3381,2156-3403",741,621,5668
0926-9851,741,522,1852
"1553-3174,1553-3182",741,315,587
"0171-5216,1432-1335",740,586,2768
"0743-8346,1476-5543",740,474,2032
0167-739X,740,628,4813
1516-1439,740,407,1040
0736-8046,740,396,1074
0034-9887,739,183,298
0733-8716,739,603,8856
0012-3706,739,469,3030
0730-0301,739,589,3554
1472-6483,739,484,2709
"0025-1909,1526-5501",739,528,3415
"1062-1024,1573-2843",739,407,1057
1226-9093,739,61,78
"0020-1324,1943-3654",738,364,1236
0007-1323,737,613,5358
1598-849X,737,69,82
0305-1978,736,455,1161
"1478-6435,1478-6443",736,531,1808
0002-8282,736,603,5987
"1751-7362,1751-7370",736,675,8750
0973-6883,735,131,685
1056-8719,735,217,1002
"1747-4930,1747-4949",735,500,3142
1812-5654,735,197,395
0026-265X,735,609,3285
2192-6506,734,434,2507
0002-9629,734,370,1270
"0006-8950,1460-2156",734,576,5282
1877-0568,733,454,1896
0261-2194,733,558,2442
0740-9303,733,360,981
1043-6618,733,599,4106
1550-4131,732,633,14426
"1687-966X,1687-9678",732,529,2191
1748-717X,732,610,3241
2320-0227,732,60,136
"0167-6857,1573-5044",732,541,2242
0309-0167,732,541,2539
0964-5691,732,577,2736
0022-3956,731,651,5360
0367-326X,731,640,3202
1083-3188,731,270,799
0192-8651,731,531,3397
"1744-9561,1744-957X",731,613,3448
1598-8619,730,16,18
1350-4495,730,537,2049
"2152-7385,2152-7393",729,210,388
0149-1970,729,466,1716
"0731-5090,1533-3884",729,526,2413
2054-5703,728,492,2030
0364-5134,728,545,8362
0192-0790,728,431,2015
1045-3873,728,450,2588
1069-6563,728,473,2497
"0008-4204,1208-6045",728,402,1158
0960-0760,728,629,4456
1351-8216,728,462,2084
0014-4835,728,580,3139
"0972-8988,2231-0916",728,289,500
"2313-741X,1563-0625",728,56,76
1687-2770,727,208,423
"0025-6455,1572-9648",726,423,1604
"0767-0974,1958-5381",726,311,729
"1077-260X,1558-4542",725,560,3255
"0022-1007,1540-9538",725,570,9685
1369-703X,725,629,3689
1089-8603,725,267,1772
"0004-8674,1440-1614",725,481,2492
1566-0702,725,214,944
"1949-4998,1949-5005",725,223,374
"0001-5970,1619-6937",724,476,1828
1527-6465,724,507,2886
0029-7828,724,110,349
0307-6938,723,403,1080
"1387-3547,1573-1464",722,543,2376
"0018-9200,1558-173X",722,581,4985
1041-4347,721,574,4595
"0893-228X,1520-5010",721,592,4005
"0340-5761,1432-0738",721,588,4003
"0027-8874,1460-2105",720,452,3360
1478-6354,720,630,5374
"0010-3624,1532-2416",720,321,648
2190-4286,720,554,3670
2349-3305,720,23,25
0013-7952,720,597,3504
"0020-1685,1608-3172",719,325,715
0717-9502,719,106,157
"1523-0864,1557-7716",719,687,8593
1526-498X,719,532,2961
"0300-5127,1470-8752",719,616,3248
"0267-0836,1743-2847",718,455,1958
"0003-6072,1572-9699",718,619,3299
"0939-4451,1438-2199",718,574,2964
1389-1723,717,594,2862
1991-962X,717,241,556
0102-0935,716,159,212
"0267-9477,1364-5544",716,660,4358
1368-8375,716,502,3632
"1342-3363,1884-7080",715,19,30
0165-0114,715,553,3168
0181-5512,715,169,310
0378-4320,715,462,1629
"0022-4766,1573-8779",714,292,525
"0250-4707,0973-7669",714,400,1024
1534-0708,713,6,6
"1063-7761,1090-6509",713,410,1283
"0174-1551,1432-086X",713,415,1793
1381-1177,712,581,2939
"0737-3937,1532-2300",712,488,2068
1552-4973,711,519,2265
"1747-1532,1747-1540",711,33,45
0019-5049,711,195,378
"0140-525X,1469-1825",711,206,1086
2231-5373,711,22,32
"0961-2033,1477-0962",711,542,2711
1995-7645,710,453,1399
"1439-6319,1439-6327",710,528,2128
"0951-3590,1473-0766",710,416,1275
1067-2516,710,435,1209
"1897-4279,0022-9032",709,164,375
"1875-8622,1386-0291",709,147,227
"0307-0565,1476-5497",709,557,4060
"1558-9447,1558-9455",708,172,520
1057-0829,708,438,1550
0096-3941,708,99,392
2330-1635,708,481,2595
"0364-2348,1432-2161",707,431,1694
0968-090X,707,605,4668
"1435-0017,2196-5684",707,8,8
0008-6215,706,550,2625
1742-4690,706,404,1746
1674-1137,705,238,5275
"0172-8172,1437-160X",705,461,1669
0167-5877,704,537,2488
0969-2126,704,548,4396
"1554-8627,1554-8635",704,609,6025
"0003-9985,1543-2165",704,510,2866
2053-230X,704,424,1090
"0022-0493,1938-291X",703,460,1460
"1465-6566,1744-7666",703,558,2932
0162-0134,703,590,3676
1155-5645,703,409,1797
0425-1644,703,435,1237
1754-6834,703,638,5747
"1809-9777,1809-4864",703,87,181
1042-7147,703,484,1953
"1051-8215,1558-2205",702,498,3710
0040-0262,702,250,853
1076-6332,702,510,2329
"0513-5796,1976-2437",702,484,1686
1874-3900,699,499,1636
"0031-3998,1530-0447",699,495,2265
1521-0103,699,603,4032
1874-110X,699,36,42
"1674-7291,1869-1870",699,524,2958
0022-3697,698,574,2706
1300-9044,698,0,0
"1865-5459,2196-6362",698,2,2
"1064-8275,1095-7197",697,537,2653
"0040-5639,2169-1304",697,11,13
"0832-610X,1496-8975",697,389,1453
"0044-409X,1438-9592",697,41,60
0031-9422,697,613,3827
0031-921X,697,180,399
"0340-2592,1433-0563",696,193,309
0002-9297,696,532,7973
"1083-7159,1549-490X",696,530,3445
"1550-9389,1550-9397",696,274,633
1465-931X,695,0,0
1314-7579,695,67,102
1084-8045,695,565,4681
2352-409X,695,249,428
1008-682X,694,383,1724
1738-2424,694,105,159
0029-5981,693,530,2560
1734-1140,693,456,2139
"1612-7021,0170-1452",693,2,2
0145-305X,693,625,4340
0253-6102,693,378,1355
"1933-0707,1933-0715",693,473,2178
0167-2681,693,461,1853
0035-9009,693,507,2622
0885-3177,692,511,2286
"1041-6102,1741-203X",692,452,1808
"0804-4643,1479-683X",692,597,4280
0378-6323,692,228,446
1547-1896,692,41,49
"1438-2377,1438-2385",691,485,1712
"1000-2413,1993-0437",691,253,426
1010-061X,691,574,3020
"1058-0468,1573-7330",690,498,2123
2168-6181,690,395,2063
"1300-0144,1303-6165",690,275,523
2299-3843,689,114,183
0176-1617,688,570,3736
0024-4066,688,550,2609
1444-1586,688,402,1596
0377-8401,687,493,1888
"0001-6489,1651-2251",687,370,1022
"1937-3341,1937-335X",687,623,4661
"0033-4553,1420-9136",687,395,1372
0142-9418,687,519,2480
"0049-4747,1573-7438",687,354,813
"1362-4393,1476-5624",687,423,1355
0010-440X,687,522,2763
"0022-0345,1544-0591",687,564,4713
"1462-0332,1462-0324",687,155,1123
"1547-3287,1557-8534",686,591,4418
1701-2163,686,243,1016
1452-3981,686,147,216
"0360-3997,1573-2576",686,529,2499
0009-9104,685,583,3908
0531-5565,685,557,3516
0301-0104,685,499,1959
"0025-3162,1432-1793",685,532,2187
1796-217X,684,162,261
"1063-6536,1558-0865",684,562,4785
"1040-0605,1522-1504",684,532,2907
1831-4732,684,354,1741
0001-7310,684,309,992
"0936-8051,1434-3916",684,498,1969
"2302-9293,1693-6930",683,97,135
"1569-5794,1573-0743",683,478,1669
"1040-8398,1549-7852",683,530,3229
0967-0645,682,613,3989
"0284-186X,1651-226X",682,493,2241
0253-2964,682,474,1270
0004-9425,681,435,1516
1075-2765,681,368,964
1533-7006,680,22,27
0884-2175,680,214,632
0950-4230,679,498,1988
"0022-2801,1537-5358",679,20,32
"2168-2194,2168-2208",679,528,3766
"0022-2291,1573-7357",678,373,1161
"1096-6080,1096-0929",678,546,3781
1438-7697,678,473,1984
2347-565X,677,164,291
1387-3806,677,500,2088
0305-0548,677,585,4136
1347-9032,677,559,3230
0435-4281,677,2,2
"0015-4040,1938-5102",676,332,812
2374-2437,676,415,4103
"1068-798X,1934-8088",675,152,304
"0925-5710,1865-3774",675,412,1436
2195-9269,675,191,312
"2072-8050,0259-9422",675,5,7
1613-4125,675,547,3763
2168-622X,675,528,9395
"1748-670X,1748-6718",674,360,989
"2193-5254,2193-5262",673,3,3
"1359-4184,1476-5578",673,586,7061
0267-7261,673,504,1930
"1554-7477,1935-469X",673,445,2003
0954-6111,673,521,2905
"0267-8292,1366-5855",672,487,2104
"1067-5027,1527-974X",672,526,3294
0887-2333,672,564,3567
1526-4114,672,2,2
"0266-4763,1360-0532",671,228,460
0090-3973,671,216,379
0975-2870,671,41,45
0365-0596,670,315,911
0019-0578,670,553,3722
"1687-725X,1687-7268",670,333,840
0017-8748,670,403,2087
1536-1233,669,548,4286
2221-1691,669,424,1336
1246-7820,669,64,145
1092-0684,669,419,2556
1526-9914,669,369,975
0001-6349,668,445,1828
0038-1101,668,488,1804
"1460-2725,1460-2393",668,256,878
"0354-5180,2406-0933",668,123,249
1743-422X,668,516,2271
0022-4049,667,343,837
"1084-0699,1943-5584",667,419,1634
1090-7807,667,544,3241
0143-8166,667,565,3404
"1341-9463,1881-8188",666,9,10
"0004-0002,1573-2800",666,501,2355
1756-1841,666,341,1024
1178-1998,666,371,1454
0021-9967,666,475,2795
1056-8727,665,522,2563
"2409-4420,1994-6937",665,2,2
1734-1922,664,312,1022
0163-4453,664,516,3270
"0895-8696,1559-1166",664,514,2263
"1687-8337,1687-8345",664,462,2077
2050-0904,664,227,384
0022-1139,664,521,2584
"0019-6061,0974-7559",664,282,627
2213-1582,664,511,4768
"0972-2815,0975-1645",663,259,519
1755-7682,663,47,143
"2300-5130,2300-8903",663,12,16
"1848-543X,1848-5448",663,17,31
"0925-1030,1573-1979",662,290,688
"1053-0509,1573-4994",662,438,1360
0047-2425,662,488,2041
0885-3010,662,491,2770
1319-2442,662,245,504
0023-074X,661,162,345
1077-2626,661,528,3237
"1972-2680,2036-6590",661,373,1053
0263-4368,661,571,2845
0305-0270,660,503,3387
"0148-5598,1573-689X",660,479,2459
"0036-5521,1502-7708",660,426,1751
1017-9909,659,268,613
0004-282X,659,315,836
"1674-7313,1869-1897",659,412,1513
2163-5951,659,26,31
1524-6175,659,436,1551
"1300-0632,1303-6203",659,204,402
"0037-6779,2325-7784",659,29,50
"1916-4750,1916-4742",658,85,111
"1687-6121,1687-630X",658,384,1183
1475-2859,658,543,3743
"0343-8651,1432-0991",658,446,1378
0171-2985,658,382,1813
0887-3585,657,502,2389
1438-1656,657,447,2034
"0960-3115,1572-9710",657,513,2435
1570-9639,657,547,3264
2188-8027,656,37,38
"2153-1196,2153-120X",656,293,669
"1481-8035,1481-8043",655,155,390
"0172-0643,1432-1971",655,398,1241
"0177-1000,2198-6533",654,12,13
2334-1009,654,12,15
"1551-3203,1941-0050",654,555,7603
1323-7799,653,548,2484
1095-9203,653,12,13
"0974-3626,0973-7103",653,456,1243
1089-9472,653,110,228
"0897-7151,1557-9042",652,607,5287
0147-5185,652,562,5196
0736-5748,652,287,1179
"1863-2653,1863-2661",652,526,2718
0032-0633,651,527,2469
2052-4129,651,600,5612
"0219-4988,1793-6829",651,217,385
"0957-4530,1573-4838",651,513,2041
2213-2198,650,526,3219
"1997-342X,1991-8631",650,82,108
0105-4538,649,565,6290
"2191-0251,0334-018X",649,318,645
0735-1933,649,537,3931
"0001-4346,1573-8876",648,167,367
2059-8521,648,138,179
"0022-3492,1943-3670",648,517,2955
0168-9452,648,563,3799
1957-2557,648,82,111
"0278-0062,1558-254X",647,570,4561
"1944-0049,1944-0057",647,427,1939
1359-6446,647,584,6276
0944-7113,647,522,3083
0905-7161,646,483,2159
"1045-389X,1530-8138",646,454,1983
"0162-8828,2160-9292",646,541,8589
"2410-2091,0368-0797",646,14,19
"1027-4510,1819-7094",646,247,470
0213-005X,646,306,783
"1079-5006,1758-535X",646,530,3869
0002-337X,645,1,1
0016-7185,644,505,2943
"0021-8758,1469-5154",644,10,13
1933-2874,644,297,2138
"1745-3925,1745-3933",644,561,4552
"0360-2559,1525-6111",644,416,1409
1073-2322,644,482,2979
"2168-2216,2168-2232",644,444,2896
1521-009X,643,562,3543
0017-9078,643,280,1001
"0143-0807,1361-6404",643,209,444
0021-8901,643,558,4928
1684-9981,642,469,2108
0010-0277,642,543,3552
1350-1925,642,500,3393
2158-3188,642,570,4839
"1063-7818,1468-4799",642,328,877
"0218-2718,1793-6594",642,421,2403
0304-386X,642,556,2930
"0304-4289,0973-7111",641,208,500
"1759-5002,1759-5010",641,275,3441
"0040-571X,2044-2696",640,7,12
0360-4039,640,101,154
2277-9175,640,309,759
"0956-7976,1467-9280",640,595,6832
1872-9312,640,45,123
1047-3203,640,445,2285
2076-3417,640,362,1081
"1735-207X,1735-2428",640,370,1002
"1925-4059,1925-4040",639,111,170
"0193-1857,1522-1547",639,487,2714
2211-9264,639,546,3628
1365-1609,639,365,834
"1071-1007,1944-7876",639,464,2268
"1470-2118,1473-4893",639,270,820
2231-3354,638,10,18
0022-1481,637,346,1277
1177-889X,637,312,987
2150-8097,637,470,2745
2231-2919,637,125,188
"0018-9375,1558-187X",637,463,1838
0929-1393,636,499,2833
1471-2261,636,429,1556
"0033-5770,1539-7718",636,29,190
1342-937X,636,583,7594
"1042-9670,1545-7230",636,321,837
0165-9936,635,583,7218
1755-1315,635,164,240
"1943-3921,1943-393X",635,434,1445
"2156-3950,2156-3985",635,440,1728
"1530-891X,1934-2403",635,414,2154
0022-5096,635,517,4225
0899-7071,634,397,1033
1876-2859,634,308,1260
0169-7439,633,493,2547
0022-0981,633,539,2409
0034-5288,633,444,1663
1530-9932,632,422,1644
0019-509X,632,156,289
2218-7405,631,4,6
0261-5177,630,517,5202
"0032-0935,1432-2048",630,519,2964
"0947-7411,1432-1181",630,322,823
2210-7843,630,178,378
1051-0761,630,511,4042
1134-2072,630,2,2
1462-9011,630,560,4057
"1077-5463,1741-2986",630,331,931
"0021-9746,1472-4146",630,435,1823
1809-8207,629,1,1
"1050-7256,1557-9077",629,543,5181
"1070-485X,1938-3789",629,183,592
1708-3087,629,513,2813
0278-4343,628,500,2377
0169-2607,628,477,3003
"1913-9012,1913-9004",627,100,142
0020-5850,627,134,447
"2050-7887,2050-7895",627,467,2250
1072-3714,626,437,2292
"2319-2399,2319-2402",626,73,104
0893-9659,626,456,2525
"1082-6084,1532-2491",626,346,1036
1005-0302,626,507,2728
"1069-9384,1531-5320",626,446,2134
"0021-9118,1752-0401",626,68,115
"0284-1851,1600-0455",626,347,1152
0929-6646,625,397,1452
"0333-1024,1468-2982",625,451,2488
0965-8564,625,370,1071
0891-6640,625,459,1954
0197-3851,625,453,2081
"1941-3149,1941-3084",624,433,3443
1434-8411,624,454,1851
1471-2369,624,469,2147
0025-7079,624,453,2529
"2047-4873,2047-4881",624,523,3349
"0941-1291,1436-2813",624,430,1501
1000-8713,623,111,147
"1674-7348,1869-1927",623,451,1991
2231-0886,622,124,206
"1460-2059,1367-4803",622,596,11897
"0363-6143,1522-1563",622,467,2342
"0883-0738,1708-8283",622,457,1729
0959-4965,622,405,1313
"0009-4722,1433-0385",621,191,414
1631-073X,621,266,576
1991-9603,621,453,2601
"1759-4774,1759-4782",621,326,4593
0905-7188,621,442,2193
"1354-5760,2047-8976",620,41,78
"0190-4167,1532-4087",620,230,471
"1654-9716,1654-9880",620,421,1355
"0723-4864,1432-1114",620,477,2013
0972-5229,620,239,537
2042-6046,620,2,2
0002-8177,620,218,864
1385-2728,619,394,1750
0974-6242,619,35,64
0140-7791,619,487,4031
"0193-1849,1522-1555",618,510,3213
"0587-4254,1509-5770",618,287,786
1549-1676,618,526,6969
"0306-6800,1473-4257",617,329,882
0147-8389,617,355,1239
0196-9781,617,519,3123
"0014-0759,2111-4579",617,18,22
"1340-4202,1881-8153",617,22,25
"0046-9777,1938-3320",617,0,0
0360-1315,617,561,4715
0020-7489,616,505,3213
1994-0440,616,217,374
"1001-0521,1867-7185",616,268,671
"2008-3645,2008-4161",616,349,801
0920-1211,616,484,2473
0925-5214,616,533,3318
1578-2190,615,21,21
"1439-7595,1439-7609",615,370,1025
"1751-8725,1751-8733",615,418,1417
1047-2797,615,345,1793
0195-6701,615,448,2465
"0722-4060,1432-2056",615,425,1502
"1949-8349,1949-8357",615,323,891
0100-4042,615,108,207
0883-2927,614,508,2783
"0956-4624,1758-1052",614,366,1152
0003-9969,614,468,1772
"2152-7180,2152-7199",614,219,448
"0735-1631,1098-8785",613,238,658
"2005-4262,2005-4262",613,96,153
1320-5358,613,373,1177
0377-0486,613,505,2457
"1948-7193,1948-7193",613,491,3294
"1932-2968,1932-2968",613,430,2074
1084-9521,612,533,5194
0360-4012,612,422,1952
"1759-5029,1759-5037",612,292,3894
"1615-7591,1615-7605",611,478,1853
"1556-6013,1556-6021",611,537,5163
1022-1360,610,229,519
0009-739X,610,188,468
1519-6984,610,263,520
1807-1600,610,12,12
0300-2896,609,216,646
"0195-928X,1572-9567",609,301,757
1748-5908,609,439,2820
"1110-662X,1687-529X",609,369,1041
1874-4443,609,38,53
"1935-5130,1935-5149",609,487,2551
"0723-2632,1434-453X",609,411,1515
1662-5137,608,456,3121
0968-0160,608,451,2242
2185-4688,608,7,8
1532-0464,608,486,2852
1931-7204,608,421,1792
0376-6357,608,441,1759
0309-1708,608,467,2649
1522-7235,608,389,1179
"1936-900X,1936-9018",608,305,926
2160-3308,607,558,8018
"2305-5839,2305-5847",607,149,308
2042-6976,607,492,2063
"1090-0241,1943-5606",607,401,2016
0952-1976,607,522,3444
"1063-7788,1562-692X",607,213,460
0951-418X,607,495,2417
1529-9163,606,3,3
0496-3490,606,113,161
"1618-954X,1618-9558",606,412,1895
0164-1212,606,452,2295
0304-5412,606,3,3
0002-9483,606,439,2155
1574-6968,605,346,955
0741-5400,605,505,2959
0003-3928,605,78,129
