JNSM,JScholar,New Comprehensive Biochemistry,Elsevier ,New Frontiers in Ophthalmology,Open Access Text,2397-2092
Natural Products Chemistry & Research,OMICS Publishing Group,Nutrition & Food Science International journal,Juniper Publishers,2474-767X
OECD International Development Statistics,Organisation for Economic Co-Operation and Development ,2414-2689
Pearl A Journal of Library and Information Science,Diva Enterprises Private Limited,Principles and Practice of Clinical Research,Principles and Practice of Clinical Research,RBOL- Revista Brasileira de Odontologia Legal,Revista Brasileira de Odontologia Legal,Research in Molecular Medicine,CASRP; Center of Advanced Scientific Research and Publications,2322-1348
Secuencias Revista de Historia del Cine,Servicio de Publicaciones de la Universidad Autonoma de Madrid,1134-6795
Statistiques de l OCDE sur le développement international,Organisation for Economic Co-Operation and Development ,2414-2697
The Criticism and Theory Society of Korea,The Criticism and Theory Society of Korea,1598-9089
The International Journal of Environmental and Science Education,ISER Publications,The Journal of Experimental Life Sciences,Brawijaya University,2087-2852
The Turkish Online Journal of Design Art and Communication,"Turkish Online Journal of Design, Art and Communication",2146-5193
Vacinação da Grávida o Passado o Presente e o Futuro,Acta Pediatrica Portuguesa,0873-9781
Vestnik of Saint Petersburg University Law,Saint Petersburg State University,2074-1243
Vestnik Volgogradskogo gosudarstvennogo universiteta Serija 5 Jurisprudencija,Volgograd State University,2078-8495
Всероссийский криминологический журнал,Baikal State University,2500-4255
Журнал технической физики,Ioffe Institute Russian Academy of Sciences,0044-4642
Известия Байкальского государственного университета,Baikal State University,2500-2759
American Research Journal of English and Literature,American Research Journals,Canadian Bulletin of Medical History,University of Toronto Press Inc,International Journal of Feminist Approaches to Bioethics,University of Toronto Press Inc,Natural Products Chemistry & Research,OMICS Publishing Group,OECD Quarterly International Trade Statistics,Organisation for Economic Co-Operation and Development ,Pearl A Journal of Library and Information Science,Diva Enterprises Private Limited,RBOL- Revista Brasileira de Odontologia Legal,Revista Brasileira de Odontologia Legal,The International Journal of Environmental and Science Education,ISER Publications,American Research Journal of English and Literature,American Research Journals,Canadian Bulletin of Medical History,University of Toronto Press Inc,International Journal of Feminist Approaches to Bioethics,University of Toronto Press Inc,Natural Products Chemistry & Research,OMICS Publishing Group,OECD Quarterly International Trade Statistics,Organisation for Economic Co-Operation and Development ,Pearl A Journal of Library and Information Science,Diva Enterprises Private Limited,RBOL- Revista Brasileira de Odontologia Legal,Revista Brasileira de Odontologia Legal,American Research Journal of English and Literature,American Research Journals,Canadian Bulletin of Medical History,University of Toronto Press Inc,International Journal of Feminist Approaches to Bioethics,University of Toronto Press Inc,Natural Products Chemistry & Research,OMICS Publishing Group,OECD Quarterly International Trade Statistics,Organisation for Economic Co-Operation and Development ,Pearl A Journal of Library and Information Science,Diva Enterprises Private Limited,RBOL- Revista Brasileira de Odontologia Legal,Revista Brasileira de Odontologia Legal,American Research Journal of English and Literature,American Research Journals,Canadian Bulletin of Medical History,University of Toronto Press Inc,International Journal of Feminist Approaches to Bioethics,Indiana University Press,1937-4585
Natural Products Chemistry & Research,OMICS Publishing Group,OECD Quarterly International Trade Statistics,Organisation for Economic Co-Operation and Development ,Cukurova University Faculty of Education Journal,Cukurova University Faculty of Education,1302-9967
Cultura Lenguaje y Representación,Universitat Jaume I,1697-7750
Culture & Society,Vytautas Magnus University,2029-4573
Culture prospective,CAIRN,1959-6944
Current Topics in Biophysics,De Gruyter Open Sp. z o.o. ,1232-9630
Danube,De Gruyter Open Sp. z o.o. ,1804-8285
DARU Journal of Pharmaceutical Sciences,Springer (Biomed Central Ltd.),2008-2231
Décadrages,OpenEdition,2235-7823
Decision Analytics,Springer (Biomed Central Ltd.),2193-8636
Dementia and Neurocognitive Disorders,Korean Dementia Association (KAMJE),1738-1495
Dermatology Practical & Conceptual,Derm101.com,2160-9381
Devenir,CAIRN,1015-8154
Dhaka University Journal of Science,Bangladesh Journals Online,1022-2502
Diabetology & Metabolic Syndrome,Springer (Biomed Central Ltd.),1758-5996
Diaconia,"Vandenhoeck & Ruprecht GmbH & Co, KG",2196-9027
Diagnostic Pathology,Springer (Biomed Central Ltd.),1746-1596
Die Welt des Orients,"Vandenhoeck & Ruprecht GmbH & Co, KG",2196-9019
Disaster Prevention and Management,Emerald (MCB UP ),0965-3562
Disease and Molecular Medicine,ScopeMed International Medical Journal Managment and Indexing System,2147-6748
Documanta Praehistorica,University of Ljubljana,1854-2492
Documenta Praehistorica,University of Ljubljana,1408-967X
Domínios de Lingu gem,EDUFU - Editora da Universidade Federal de Uberlandia,1980-5799
Drustvena istrazivanja,Institute of Social Sciences Ivo Pilar,1330-0288
Dynamics and Control,Springer (Kluwer Academic Publishers),0925-4668
E-Learning and Digital Media,SAGE Publications,2042-7530
Earth Perspectives,Springer (Biomed Central Ltd.),2194-6434
East Asian Journal on Applied Mathematics,Global Science Press,2079-7362
Eastern European Countryside,De Gruyter Open Sp. z o.o. ,1232-8855
Ebisu,PERSEE Program,1340-3656
Ecological Chemistry and Engineering S,De Gruyter Open Sp. z o.o. ,1898-6196
Economia e Politica Industriale,Franco Angeli,1972-4977
EJNMMI Physics,Springer (Biomed Central Ltd.),2197-7364
Electronics Education,Institution of Electrical Engineers,2054-0329
Emerging Markets Finance and Trade,Informa UK (Taylor & Francis),1540-496X
Emerging Themes in Epidemiology,Springer (Biomed Central Ltd.),1742-7622
Environmental Evidence,Springer (Biomed Central Ltd.),2047-2382
Environmental Health,Springer (Biomed Central Ltd.),1476-069X
Environmental Policy and Law,Elsevier ,0378-777X
Epigenetics & Chromatin,Springer (Biomed Central Ltd.),1756-8935
EPJ Quantum Technology,Springer-Verlag,2196-0763
Equilibrium,Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,1689-765X
Ethnomusicology,University of Illinois Press,0014-1836
EU agrarian Law,De Gruyter Open Sp. z o.o. ,1338-6891
Eurasian Business Review,EBES Aras. Dan Egt. Yayin ve Org (Eurasia Business and Economics Society),2147-4281
Eurasian Economic Review,EBES Aras. Dan Egt. Yayin ve Org (Eurasia Business and Economics Society),2147-429X
Eurasian Geography and Economics,Bellwether Publishing,1538-7216
EURASIP Journal on Advances in Signal Processing,Springer (Biomed Central Ltd.),1687-6180
European Education,Informa UK (Taylor & Francis),1056-4934
European Educational Research Journal,SAGE Publications,1474-9041
European Journal of Applied Physiology and Occupational Physiology,Springer-Verlag,0301-5548
European Journal of Medical Research,Springer (Biomed Central Ltd.),2047-783X
European Journal of Molecular Biotechnology,Academic Publishing House Researcher,2310-6255
European Journal of Pain,Wiley Blackwell (John Wiley & Sons),1090-3801
Evidence-Based Nursing,BMJ,1367-6539
EvoDevo,Springer (Biomed Central Ltd.),2041-9139
Evolutionary and Institutional Economics Review,Japan Association for Evolutionary Economics,1349-4961
Experimental & Translational Stroke Medicine,Springer (Biomed Central Ltd.),2040-7378
Experimental Hematology and Oncology,Springer (Biomed Central Ltd.),2162-3619
Extreme Physiology & Medicine,Springer (Biomed Central Ltd.),2046-7648
Facta universitatis - series Architecture and Civil Engineering,National Library of Serbia,0354-4605
Facta universitatis - series Physics Chemistry and Technology,National Library of Serbia,0354-4656
Family and Environment Research,The Korean Home Economics Association,2288-3541
Fatigue of Aircraft Structures,De Gruyter Open Sp. z o.o. ,2081-7738
FEMS Microbiology Reviews,Wiley Blackwell (Blackwell Publishing),0168-6445
Fibrogenesis & Tissue Repair,Springer (Biomed Central Ltd.),1755-1536
Filomat,National Library of Serbia,0354-5180
Financial and Quantitative Analysis,Sciknow Publications,2327-6592
Flavour,Springer (Biomed Central Ltd.),2044-7248
Fluids and Barriers of the CNS,Springer (Biomed Central Ltd.),2045-8118
Folia Biologica et Oecologica,De Gruyter Open Sp. z o.o. ,1730-2366
Folia Endocrinologica Japonica,The Japan Endocrine Society,0029-0661
Folia Forestalia Polonica Seria A - Forestry,De Gruyter Open Sp. z o.o. ,0071-6677
Folia Scandinavica Posnaniensia,De Gruyter Open Sp. z o.o. ,2299-6885
Foreign Trade Review,SAGE Publications,0015-7325
Forest Ecosystems,Springer (Biomed Central Ltd.),2197-5620
Foundations of Management,De Gruyter Open Sp. z o.o. ,2080-7279
Fractal Revista de Psicologia,SciELO,1984-0292
Framework The Journal of Cinema and Media,Muse - Johns Hopkins University Press,1559-7989
French Colonial History,Muse - Johns Hopkins University Press,1543-7787
Frontiers in Aerospace Engineering,"Science and Engineering Publishing, Co.",2325-6788
Frontiers in Zoology,Springer (Biomed Central Ltd.),1742-9994
Functional Linguistics,Springer (Biomed Central Ltd.),2196-419X
Gender Studies,De Gruyter Open Sp. z o.o. ,1583-980X
Genome Biology,Springer (Biomed Central Ltd.),1465-6906
Genome Medicine,Springer (Biomed Central Ltd.),1756-994X
GEOCHEMICAL JOURNAL,The Geochemical Society of Japan,0016-7002
Geodesy and Cartography,De Gruyter Open Sp. z o.o. ,2080-6736
Geografares,Geografares,2175-3709
Geoinformatica Polonica,De Gruyter Open Sp. z o.o. ,1642-2511
Geologia USP Série Científica,Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP,1519-874X
Geologické výzkumy na Moravě a ve Slezsku,Masaryk University Press,1212-6209
Netherlands Journal of Geosciences – Geologie en Mijnbouw,Cambridge University Press,0016-7746
Geoscience Letters,Springer (Biomed Central Ltd.),2196-4092
Geschichte und Gesellschaft,"Vandenhoeck & Ruprecht GmbH & Co, KG",2196-9000
GigaScience,Springer (Biomed Central Ltd.),2047-217X
GIScience & Remote Sensing,Informa UK (Taylor & Francis),1548-1603
Global Studies of Childhood,SAGE Publications,2043-6106
Globalization and Health,Springer (Biomed Central Ltd.),1744-8603
Glottotheory,Oldenbourg Wissenschaftsverlag,1337-7892
Godišnjak Centra za balkanološka ispitivanja,Academy of Sciences and Arts of Bosnia anad Herzegovina,0350-0020
Göttinger Predigtmeditationen,"Vandenhoeck & Ruprecht GmbH & Co, KG",2197-0815
GRH,CAIRN,2034-9130
Gruppenpsychotherapie und Gruppendynamik,"Vandenhoeck & Ruprecht GmbH & Co, KG",2196-7989
GSTF Journal of BioSciences,Global Science and Technology Forum,2251-3159
GSTF Journal of BioSciences (JBio) Volume 2 Number 2,Global Science and Technology Forum,2251-3140
GSTF Journal on Business Review,Springer - Global Science Journals,2010-4804
GSTF Journal on Computing,Springer - Global Science Journals,2010-2283
GSTF Journal on Mobile Communications Networking and Applications,Global Science and Technology Forum,2335-6618
Gut,BMJ,0017-5749
Gut Pathogens,Springer (Biomed Central Ltd.),1757-4749
Harm Reduction Journal,Springer (Biomed Central Ltd.),1477-7517
He lth Information on the Internet,The Royal Society of Medicine,1460-4140
Head & Face Medicine,Springer (Biomed Central Ltd.),1746-160X
Health & Justice,Springer (Biomed Central Ltd.),2194-7899
Health and Quality of Life Outcomes,Springer (Biomed Central Ltd.),1477-7525
Health Information Science and Systems,Springer (Biomed Central Ltd.),2047-2501
Health Research Policy and Systems,Springer (Biomed Central Ltd.),1478-4505
Health Sociology Review,Informa UK (Taylor & Francis),1446-1242
Healthcare Management Forum,SAGE Publications,0840-4704
Heart,BMJ,1355-6037
Helia,Walter de Gruyter GmbH,1018-1806
Hematology,Maney Publishing,1024-5332
Hereditary Cancer in Clinical Practice,Springer (Biomed Central Ltd.),1897-4287
Heritage Science,Springer (Biomed Central Ltd.),2050-7445
HEROM,Leuven University Press,2294-4273
Higher Education for the Future,SAGE Publications,2347-6311
Histoire monde et cultures religieuses,CAIRN,1957-5246
History & Philosophy of the Life Sciences,Informa UK (Taylor & Francis),0391-9714
HIV Clinical Trials,Maney Publishing,1528-4336
Homiletische Monatshefte,"Vandenhoeck & Ruprecht GmbH & Co, KG",2196-8012
Hospital Practice,JTE Multimedia LLC,0018-5809
Human & Social Studies Research and Practice,De Gruyter Open Sp. z o.o. ,2285-5920
Human Resources for Health,Springer (Biomed Central Ltd.),1478-4491
Human Vaccines,Landes Bioscience,1554-8600
Hydro Nepal Journal of Water Energy and Environment,Nepal Journals Online,1998-5452
Hypertension Research in Pregnancy,Japan Society for the Study of Hypertension in Pregnancy,2187-5987
I Tatti Studies in the Italian Renaissance,The University of Chicago Press,0393-5949
Iberian Journal of Information Systems and Technologies,Academy Publisher,1646-9895
IETE Journal of Research,Medknow Publications,0377-2063
Image Processing & Communications,De Gr
