j,i,d,r
Asian Journal of Agricultural Sciences,2041-3882,14-Oct-16,Suspected editorial misconduct by publisher
Research Journal of Environmental and Earth Sciences,2041-0484,14-Oct-16,Suspected editorial misconduct by publisher
International Journal of Animal and Veterinary Advances,2041-2894,14-Oct-16,Suspected editorial misconduct by publisher
Current Research Journal of Social Science,2041-3238,14-Oct-16,Suspected editorial misconduct by publisher
Current Research Journal of Economic Theory,2042-4841,14-Oct-16,Suspected editorial misconduct by publisher
"Research Journal of Applied Sciences, Engineering and Technology    ",2040-7459,14-Oct-16,Suspected editorial misconduct by publisher
Current Research Journal of Biological Sciences,2041-076X,14-Oct-16,Suspected editorial misconduct by publisher
Advance Journal of Food Science and Technology,2042-4868,14-Oct-16,Suspected editorial misconduct by publisher
Asian Journal of Business Management,2041-8744,14-Oct-16,Suspected editorial misconduct by publisher
Bioscience Discovery,2229-3469,14-Oct-16,Suspected editorial misconduct by publisher
Sciences Eaux & Territoires: la Revue du IRSTEA,2109-3016,13-Oct-16,Journal not adhering to Best practice
BioRisk,1313-2644,13-Oct-16,Has not published enough articles this calendar year
Sociosfera,2078-7081,13-Oct-16,Journal not adhering to Best practice
Talia Dixit,1886-9440,13-Oct-16,Journal not adhering to Best practice
PPAR Research,1687-4757,13-Oct-16,Not in the issn database
SANAMED,1452-662X,13-Oct-16,Journal not adhering to Best practice
Bioinorganic Chemistry and Applications,1565-3633,13-Oct-16,Not in the issn database
Global Journal of Mathematical Analysis,2307-9002,11-Oct-16,Journal not adhering to Best practice
International Journal of Advanced Statistics and Probability,2307-9045,11-Oct-16,Journal not adhering to Best practice
International Journal of Engineering & Technology,2227-524X,11-Oct-16,Journal not adhering to Best practice
International Journal of Advanced Nursing Studies,2227-488X,11-Oct-16,Journal not adhering to Best practice
International Journal of Applied Mathematical Research,2227-4324,11-Oct-16,Journal not adhering to Best practice
Czytanie Literatury. (ÅÅÃ_dzkie Studia Literaturoznawcze),2449-8386,11-Oct-16,Journal not adhering to Best practice
Transitional Water Bulletin,1825-229X,11-Oct-16,Has not published enough articles this calendar year
International Journal of Business Research and Management ,2180-2165,10-Oct-16,Journal not adhering to Best practice
International Journal of Image Processing,1985-2304,10-Oct-16,Journal not adhering to Best practice
International Journal of Engineering,1985-2312,10-Oct-16,Journal not adhering to Best practice
International Journal of Biometric and Bioinformatics,1985-2347,10-Oct-16,Journal not adhering to Best practice
International Journal of Computer Science and Security ,1985-1553,10-Oct-16,Journal not adhering to Best practice
Signal Processing : An International Journal ,1985-2339,10-Oct-16,Journal not adhering to Best practice
International Journal of Computer Networks ,1985-4129,10-Oct-16,Journal not adhering to Best practice
International Journal of Security ,1985-2320,10-Oct-16,Journal not adhering to Best practice
International Journal of Artificial Intelligence and Expert Systems ,2180-124X,10-Oct-16,Journal not adhering to Best practice
"Vestnik Moskovskogo Universiteta. Serija 2, Chimija",0579-9384,1-Oct-16,Journal not adhering to Best practice
Journal of Atrial Fibrillation,1809-6867,30-Sep-16,Journal not adhering to Best practice
Cadernos de SaÃºde PÃºblica,0102-311X,9-May-16,Journal not adhering to Best practice
Military and Strategic Affairs,2307-793X,15-Sep-16,Journal not adhering to Best practice
"Journal of Public Administration, Finance and Law",2285-2204,19-May-16,Journal not adhering to Best practice
Studii si Cercetari Filologice : Seria Limbi Romanice,1843-3979,9-May-16,Journal not adhering to Best practice
Electronic Journal of Plant Breeding,0975-928X,20-Jul-16,Journal not adhering to Best practice
Annals of Environmental Science,1939-2621,25-Apr-16,Journal not adhering to Best practice
Global Media Journal : Persian Edition,2008-0468,8-Sep-16,Journal not adhering to Best practice
Ignaziana : Rivista di Ricerca Teologica,1828-2377,15-Sep-16,Journal not adhering to Best practice
Translational Developmental Psychiatry,2001-7022,25-May-16,Journal not adhering to Best practice
Minerva : an Internet Journal of Philosophy,1393-614X,16-May-16,Journal not adhering to Best practice
Journal of Alternative Perspectives in the Social Sciences,1944-1088,12-May-16,Journal not adhering to Best practice
Net Journal of Agricultural Science,2315-9766,12-May-16,Journal not adhering to Best practice
theHealth,2218-3299,12-May-16,Journal not adhering to Best practice
"Applied Mathematics in Engineering, Management and Technology",2322-5572,12-May-16,Journal not adhering to Best practice
Infopreneurship Journal,2345-265X,12-May-16,Journal not adhering to Best practice
International Journal of Advanced Networking and Applications,0975-0290,12-May-16,Journal not adhering to Best practice
ARPN Journal of Systems and Software ,2222-9833,12-May-16,Journal not adhering to Best practice
International Journal on Research and Development : A Management Review,2319-5479,12-May-16,Journal not adhering to Best practice
International Journal of Computer Science and Network,2277-5420,12-May-16,Journal not adhering to Best practice
Family Medicine,0742-3225,12-May-16,Journal not adhering to Best practice
Chemical Science Transactions,2278-3318,12-May-16,Journal not adhering to Best practice
International Journal of Networking and Computing,2185-2839,12-May-16,Journal not adhering to Best practice
International Journal of Electronic Commerce Studies,2073-9729,12-May-16,Journal not adhering to Best practice
Global Media Journal : African Edition,2073-2740,12-May-16,Journal not adhering to Best practice
Banatâ€™s Journal of Biotechnology,2068-4673,12-May-16,Journal not adhering to Best practice
Outlines : Critical Practice Studies,1399-5510,9-May-16,Journal not adhering to Best practice
International Journal of Women's Health and Reproduction Sciences,2330-4456,6-Apr-16,Journal not adhering to Best practice
Revista Brasileira de Medicina de FamÃ_lia e Comunidade,1809-5909,6-Apr-16,Journal not adhering to Best practice
International Research Journal of Applied Finance,2229-6891,6-Apr-16,Journal not adhering to Best practice
"Revista EletrÃ´nica em GestÃ£o, EducaÃ§Ã£o e Tecnologia Ambiental ",2236-1170,6-Apr-16,Journal not adhering to Best practice
Rwanda Medical Journal,2079-097X,6-Apr-16,Journal not adhering to Best practice
International Journal of Occupational Hygiene,2008-5109,6-Apr-16,Journal not adhering to Best practice
NavegaÃ§Ãµes : Revista de Cultura e Literaturas de LÃ_ngua Portuguesa,1982-8527,6-Apr-16,Journal not adhering to Best practice
New Proposals : Journal of Marxism and Interdisciplinary Inquiry,1715-6718,29-Jan-16,Journal not adhering to Best practice
Slovo : Journal of Slavic Languages and Literatures,0348-744X,19-Jan-16,Journal not adhering to Best practice
International Journal of Pharmaceutical Sciences and Drug Research,0975-248X,13-Jan-16,Journal not adhering to Best practice
International Journal of Medical Education,2042-6372,13-Jan-16,Journal not adhering to Best practice
"International Journal of Design, Analysis and Tools for Integrated Circuits and Systems",2223-523X,13-Jan-16,Journal not adhering to Best practice
Activities in Physical Education and Sports,1857-7687,12-Jan-16,Journal not adhering to Best practice
Journal of American Physicians and Surgeons,1543-4826,6-Apr-16,Journal not adhering to Best practice
Bulletin (new series) of the American Mathematical Society,0273-0979,21-Mar-16,Journal not adhering to Best practice
International Journal of Bio-Science and Bio-Technology,2233-7849,10-Oct-16,No OA or licence info
SMAD: Revista EletrÃ´nica SaÃºde Mental ÃÅlcool e Drogas,1806-6976,24-Aug-16,Journal not adhering to Best practice
Perspectivas Online : BiolÃ_gicas e SaÃºde,2236-8868,24-Aug-16,Journal not adhering to Best practice
Geografias,1808-8058,24-Aug-16,Journal not adhering to Best practice
"Journal of Microwaves, Optoelectronics and Electromagnetic Applications",2179-1074,10-Aug-16,Journal not adhering to Best practice
Geotextos : Revista da PÃ_s-GraduaÃ§Ã£o em Geografia da Universidade Federal da Bahia,1809-189X,10-Oct-16,Journal not adhering to Best practice
Inquietude : Revista dos Estudantes de Filosofia da UFG,2177-4838,7-Aug-16,Journal not adhering to Best practice
Geografia Ensino & Pesquisa,0103-1538,10-Oct-16,Journal not adhering to Best practice
Tekhne e Logos,2176-4808,10-Oct-16,Journal not adhering to Best practice
Mediaciones Sociales,1989-0494,10-Oct-16,Journal not adhering to Best practice
OrganizaÃ§Ãµes Rurais & Agroindustriais,1517-3879,10-Oct-16,Journal not adhering to Best practice
"EducaÃ§Ã£o, FormaÃ§Ã£o & Tecnologias",1646-933X,10-Oct-16,Journal not adhering to Best practice
Comuni@ccion: Revista de InvestigaciÃ_n en ComunicaciÃ_n y Desarrollo,2219-7168,10-Oct-16,Journal not adhering to Best practice
International Research: Journal of Library and Information Science,2249-0213,9-Oct-16,Journal not adhering to Best practice
International Journal of Computer Technology and Applications ,2229-6093,9-Oct-16,Journal not adhering to Best practice
Revista de GestÃ£o e Projetos ,2236-0972,9-Oct-16,Journal not adhering to Best practice
"Panace@ : Revista de Medicina, Lenguaje y TraducciÃ_n",1537-1964,9-Oct-16,Journal not adhering to Best practice
Cadernos de Estudos Sociais e PolÃ_ticos,2238-3425,8-Oct-16,Journal not adhering to Best practice
Cuadernos ElectrÃ_nicos de FilosofÃ_a del Derecho,1138-9877,8-Oct-16,Journal not adhering to Best practice
Anuari de Filologia: Estudis de LingÃ_Ã_stica,2014-1408,8-Oct-16,Journal not adhering to Best practice
Journal of Applied Biosciences,1997-5902,7-Oct-16,Journal not adhering to Best practice
Anuario Americanista Europeo,2221-3872,7-Oct-16,Has not published enough articles this calendar year
Cuadernos KÃ_re,1889-9285,6-Oct-16,Has not published enough articles this calendar year
International Journal of Research in Chemistry and Environment,2248-9649,6-Oct-16,Journal not adhering to Best practice
Temas Americanistas,1988-7868,6-Oct-16,No OA or licence info
Journal of Management and Science,2250-1819,6-Oct-16,Journal not adhering to Best practice
International Research Journal of Chemistry,2321-2845,6-Oct-16,Journal not adhering to Best practice
Revista de Osteoporosis y Metabolismo Mineral,1889-836X,6-Oct-16,No OA or licence info
Journal of Iberian Geology,1698-6180,6-Oct-16,Journal not adhering to Best practice
Journal of Advanced Computer Science & Technology,2227-4332,6-Oct-16,Journal not adhering to Best practice
The Iraqi Journal of Veterinary Medicine,2410-7409,6-Oct-16,Journal not adhering to Best practice
Historical Kan Periodical ,2090-0449,6-Oct-16,Requires user registration
Journal of Nutritional Health & Food Science,2372-0980,5-Oct-16,use of fake impact factor
SportLogia,1986-6089,4-Oct-16,Journal not adhering to Best practice
Reviews on Advanced Materials Science,1605-8127,4-Oct-16,Journal not adhering to Best practice
Vestnik Volgogradskogo Gosudarstvennogo Arhitekturno-Stroitelnogo Universiteta. Seriya: Stroitelstvo i Arhitektura ,1815-4360,4-Oct-16,Journal not adhering to Best practice
"Lingua Romana : a Journal of French, Italian and Romanian Culture",1551-4730,30-Sep-16,Journal not adhering to Best practice
Chronic Diseases and Injuries in Canada,1925-6515,30-Sep-16,Journal not adhering to Best practice
Revue dâ€™Ã‰tudes Benthamiennes,1760-7507,30-Sep-16,Journal not adhering to Best practice
Balkanologie : Revue d'Etudes Pluridisciplinaires,1279-7952,30-Sep-16,Journal not adhering to Best practice
Revue de Recherche en Civilisation AmÃ©ricaine,2101-048X,30-Sep-16,Journal not adhering to Best practice
"Amerika : MÃ©moires, IdentitÃ©s, Territoires",2107-0806,30-Sep-16,Journal not adhering to Best practice
International Journal of Innovation and Applied Studies,2028-9324,29-Sep-16,Journal not adhering to Best practice
Psychoterapia,2391-5862,29-Sep-16,No OA or licence info
Research in the History of Technology,2079-2999,27-Sep-16,No OA or licence info
Electronic Journal of Vedic Studies,1084-7561,27-Sep-16,Journal not adhering to Best practice
Bulletin de lâ€™Institut Scientifique : Section Sciences de la Terre,1114-6834,27-Sep-16,Journal not adhering to Best practice
Pyramides : Revue du Centre d'Etudes et de Recherches en Administration Publique,1376-098Xï»¿,27-Sep-16,Journal not adhering to Best practice
BABELAO : Electronic Journal for Ancient and Oriental Studies,2034-9491,27-Sep-16,Journal not adhering to Best practice
HimiÃ¢ RastitelÊ_nogo SyrÊ_Ã¢,1029-5151,26-Sep-16,No licence info
Recherche et Pratiques PÃ©dagogiques en Langues de SpÃ©cialitÃ© : Cahiers de l'APLIUT,2257-5405,26-Sep-16,Journal not adhering to Best practice
Annual Review of the Faculty of Philosophy,0374-0730,25-Sep-16,No OA or licence info
Prilozi ProuÄçavanju Jezika ,0555-1137,25-Sep-16,No OA or licence info
MetodiÄçki Vidici,2217-415X,25-Sep-16,No OA or licence info
Zbornik za Jezike i KnjiÅ_evnosti Filozofskog Fakulteta u Novom Sadu,2217-8546,25-Sep-16,No OA or licence info
IstraÅ_ivanja,0350-2112,25-Sep-16,No OA or licence info
La RÃ©volution FranÃ§aise : Cahiers de lâ€™Institut dâ€™Histoire de la RÃ©volution FranÃ§aise,2105-2557,25-Sep-16,Journal not adhering to Best practice
"Revue de la RÃ©gulation : Capitalisme, Institutions, Pouvoirs",1957-7796,24-Sep-16,Journal not adhering to Best practice
Colombia Forestal,0120-0739,23-Sep-16,Journal not adhering to Best practice
Revista Filosofia Capital,1982-6613,23-Sep-16,Journal not adhering to Best practice
Brazilian Journalism Research,1808-4079,23-Sep-16,Journal not adhering to Best practice
Revista Colombiana de EducaciÃ_n,0120-3916,23-Sep-16,Journal not adhering to Best practice
Dilemas: Revista de Estudos de Conflito e Controle Social,1983-5922,23-Sep-16,Journal not adhering to Best practice
AnagnÃ_risis : Revista de InvestigaciÃ_n Teatral,2013-6986,23-Sep-16,Journal not adhering to Best practice
NeuropsicologÃ_a Latinoamericana,2075-9479,23-Sep-16,Journal not adhering to Best practice
Orinoquia,0121-3709,23-Sep-16,Journal not adhering to Best practice
RazÃ_n y Palabra,1605-4806,23-Sep-16,Journal not adhering to Best practice
Relaciones Internacionales,1699-3950,23-Sep-16,Journal not adhering to Best practice
DILEMATA : Revista Internacional de Ã‰ticas Aplicadas,1989-7022,22-Sep-16,Journal not adhering to Best practice
Estudios de LingÃ_Ã_stica EspaÃ±ola,1139-8736,22-Sep-16,Journal not adhering to Best practice
Dilemata,1989-7022,22-Sep-16,Journal not adhering to Best practice
BoletÃ_n SAO,0123-9082,22-Sep-16,Journal not adhering to Best practice
En Blanco y Negro,2221-8874,22-Sep-16,Journal not adhering to Best practice
"Memorias de la Conferencia Interna en Medicina y Aprovechamiento de Fauna Silvestre, ExÃ_tica y no Convencional",2011-9348,22-Sep-16,Journal not adhering to Best practice
Revista EmancipaÃ§Ã£o,1519-7611,22-Sep-16,Journal not adhering to Best practice
BoletÃ_n de Ciencias de la Tierra,0120-3630,22-Sep-16,Journal not adhering to Best practice
Revista CES PsicologÃ_a,2011-3080,22-Sep-16,Journal not adhering to Best practice
MATRIZes : Revista do Programa de PÃ_s-GraduaÃ§Ã£o em ComunicaÃ§Ã£o da Universidade de SÃ£o Paulo,1982-2073,22-Sep-16,Journal not adhering to Best practice
Mediaobrazovanie,1994-4160,22-Sep-16,Journal not adhering to Best practice
Comunicata Scientiae,2176-9079,22-Sep-16,Journal not adhering to Best practice
RTejournal - Forum fÃ_r Rapid Technologie,1614-0923,22-Sep-16,Journal is not Open Access
TeoriÃ¢ i Praktika ObÅùestvennogo RazvitiÃ¢ ,1815-4964,22-Sep-16,Journal is not Open Access
International Journal of Research and Development in Pharmacy and Life Sciences,2278-0238,21-Sep-16,Suspected editorial misconduct by publisher
Journal of Achievements in Materials and Manufacturing Engineering,2300-892X,21-Sep-16,application form no info
Acta Physica Polonica A,1898-794X,21-Sep-16,not Open Access
MicologÃ_a Aplicada Internacional,1534-2581,20-Sep-16,Journal not adhering to Best practice
International Journal of Medicine and Biomedical Research,2315-5019,19-Sep-16,Suspected editorial misconduct by publisher
Genome Integrity ,2041-9414,19-Sep-16,Has not published enough articles this calendar year
OftalÊ_mohirurgiÃ¢,0235-4160,17-Sep-16,Web site URL no longer works
"Transcontinentales : SociÃ©tÃ©s, IdÃ©ologies, SystÃ¨me Mondial",1950-1684,15-Sep-16,Journal not adhering to Best practice
Revista Ciencias BiomÃ©dicas,2215-7840,14-Sep-16,Journal not adhering to Best practice
The Medieval Review,1096-746X,12-Sep-16,book reviews only
International Journal of Digital Information and Wireless Communications,2225-658X,12-Sep-16,Journal is not open access
Issues in Informing Science and Information Technology,1547-5867,12-Sep-16,Journal is not open access
Journal of Information Technology Education : Research,1539-3585,12-Sep-16,Journal is not open access
Journal of Information Technology Education : Innovations in Practice,2165-316X,12-Sep-16,Journal is not open access
Informing Science The International Journal of an Emerging Transdiscipline,1521-4672,12-Sep-16,Journal is not open access
International Journal of Doctoral Studies,1556-8873,12-Sep-16,Journal is not open access
"Interdisciplinary Journal of Information, Knowledge, and Management",1555-1237,12-Sep-16,Journal is not open access
Jurnalul de Chirurgie,1584-9341,7-Sep-16,Suspected editorial misconduct by publisher
European Academic Research,2286-4822,5-Sep-16,Suspected editorial misconduct by publisher
Research & Reviews : Journal of Dental Sciences,2320-7949,2-Sep-16,Suspected editorial misconduct by publisher
Research and Reviews : Journal of Pharmacy and Pharmaceutical Sciences,2320-1215,2-Sep-16,Suspected editorial misconduct by publisher
Research & Reviews : Journal of Engineering and Technology,2319-9873,2-Sep-16,Suspected editorial misconduct by publisher
Research and Reviews : Journal of Chemistry,2319-9849,2-Sep-16,Suspected editorial misconduct by publisher
Research & Reviews : Journal of Medical and Health Sciences,2319-9865,2-Sep-16,Suspected editorial misconduct by publisher
Research & Reviews : Journal of Agriculture and Allied Sciences,2319-9857,2-Sep-16,Suspected editorial misconduct by publisher
Research and Reviews : Journal of Botanical Science,2320-0189,2-Sep-16,Suspected editorial misconduct by publisher
Research & Reviews : Journal of Microbiology and Biotechnology,2320-3528,2-Sep-16,Suspected editorial misconduct by publisher
Arab World English Journal ,2229-9327,1-Sep-16,Journal not adhering to Best practice
Journal of Medical and Biomedical Sciences,2026-6294,31-Aug-16,Journal not adhering to Best practice
Sovremennye Tehnologii v Medicine,2076-4243,28-Aug-16,Journal not adhering to Best practice
Calidad en la EducaciÃ_n,0717-4004,28-Aug-16,Journal not adhering to Best practice
Perspectivas Online : BiolÃ_gicas e SaÃºde,2236-8868,24-Aug-16,Journal not adhering to Best practice
Geografias,1808-8058,24-Aug-16,Journal not adhering to Best practice
"SMAD Revista ElectrÃ_nica Salud Mental, Alcohol y Drogas",1806-6976,24-Aug-16,Journal not adhering to Best practice
URBANITIES : Journal of the Commission on Urban Anthropology,2239-5725,23-Aug-16,Journal not adhering to Best practice
Marmara Ãœniversitesi AtatÃ_rk EÄŸitim FakÃ_ltesi EÄŸitim Bilimleri Dergisi,1300-8889,20-Aug-16,no answer
Innotec GestiÃ_n,1688-6607,16-Aug-16,Journal not adhering to Best practice
TÃ©lÃ©matique,1856-4194,16-Aug-16,Journal not adhering to Best practice
Revista Argentina de Anatomia Online,1853-256X,16-Aug-16,Journal not adhering to Best practice
BoletÃ_n de PediatrÃ_a,0214-2597,16-Aug-16,Journal not adhering to Best practice
Revista Virtual de QuÃ_mica,1984-6835,16-Aug-16,Journal not adhering to Best practice
Revista da Faculdade de EducaÃ§Ã£o (Universidade do Estado de Mato Grosso),1679-4273,16-Aug-16,Journal not adhering to Best practice
Salus Online,1316-7138,16-Aug-16,Journal not adhering to Best practice
EspaÃ§o JurÃ_dico : Journal of Law,2179-7943,16-Aug-16,Journal not adhering to Best practice
Catalan Historical Review,2013-407X,16-Aug-16,Journal not adhering to Best practice
Revista Andina de Estudios PolÃ_ticos,2221-4135,16-Aug-16,Journal not adhering to Best practice
Revista SaÃºde.Com,1809-0761,16-Aug-16,Journal not adhering to Best practice
Revista de Teoria da HistÃ_ria,2175-5892,16-Aug-16,Journal not adhering to Best practice
Contribuciones a las Ciencias Sociales,1988-7833,16-Aug-16,Journal not adhering to Best practice
Libros de la Corte.es,1989-6425,16-Aug-16,Journal not adhering to Best practice
AnalÃ_tika : Revista de AnÃ¡lisis EstadÃ_stico,1390-6208,16-Aug-16,Journal not adhering to Best practice
Revista de PsicologÃ_a y EducaciÃ_n,1699-9517,16-Aug-16,Journal not adhering to Best practice
Synesis,1678-6785,16-Aug-16,Journal not adhering to Best practice
Revista ProfissÃ£o Docente,1519-0919,16-Aug-16,Journal not adhering to Best practice
International Journal of New Computer Architectures and their Applications,2220-9085,8/15/16,journal not open access 
Interdisciplinary Journal of e-Learning and Learning Objects,1552-2237,8/15/16,journal not open access
Ukrainian Journal of Physical Optics,1609-1833,13-Aug-16,journal not open access (no statement)
Avanzada CientÃ_fica,1029-3450,8-Aug-16,Journal not adhering to Best practice
Instantes y Azares : Escrituras Nietzscheanas,1666-2849,11-Aug-16,Journal not adhering to Best practice
Clinical Medicine : Geriatrics,1178-217X,10-Aug-16,Journal not adhering to Best Practice
Archives of Materials Science and Engineering ,1897-2764,10-Aug-16,Web site URL no longer works
Opticon1826,2049-8128,28-Jul-16,Web site URL no longer works
Blood Transfusion,2385-2070,26-Jul-16,journal not open access
Historia Ambiental Latinoamericana y CaribeÃ±a,2237-2717,18-Jul-16,Journal not adhering to Best practice
Debates en SociologÃ_a,0254-9220,18-Jul-16,Journal not adhering to Best practice
Optical Materials Express,2159-3930,13-Jul-16,Journal not open access
Optics Express,1094-4087,13-Jul-16,Journal not open access
biomedical Optics Express,2156-7085,13-Jul-16,Journal not open access
The European Research Journal,2149-3189,7-Jun-16,Journal not adhering to Best practice
Ion Exchange Letters,1803-4039,30-May-16,Has not published enough articles this calendar year
GeoResJ,2214-2428,16-May-16,Journal is no longer Open Access
Journal of Business Studies Quarterly,2152-1034,5-May-16,Journal is no longer Open Access
Journal of Clinical Investigation,0021-9738,3-May-16,Journal is no longer Open Access
The Avery Review,1234-5678,25-Apr-16,Journal not adhering to Best practice
International Political Anthropology,2283-9887,21-Apr-16,Journal not adhering to Best practice
"Motivational Interviewing : Training, Research, Implementation, Practice",2160-584X,20-Apr-16,Inactive (has not published in the last calender year)
Pittsburgh Journal of Environmental and Public Health,2164-7976,20-Apr-16,Inactive (has not published in the last calender year)
Golden Research Thoughts,2231-5063,12-Apr-16,Suspected editorial misconduct by publisher
Indian Streams Research Journal,2230-7850,12-Apr-16,Suspected editorial misconduct by publisher
Tactful Management,2319-7943,12-Apr-16,Suspected editorial misconduct by publisher
Reviews of Progress,2321-3485,12-Apr-16,Suspected editorial misconduct by publisher
International Journal of Computer Science Issues,1694-0784,1-Apr-16,Web site URL no longer works
Journal of Molecular Signaling,1750-2187,30-Mar-16,Journal not adhering to Best practice
European Online Journal of Natural and Social Sciences,1805-3602,29-Mar-16,Journal not adhering to Best practice
"Czech Journal of Social Sciences, Business and Economics",1805-6830,27-Mar-16,Journal not adhering to Best practice
AnalÃ_tika : Revista de AnÃ¡lisis EstadÃ_stico,1390-6208,21-Mar-16,Journal not adhering to Best practice
E-Journal of International and Comparative Labour Studies,2280-4056,18-Mar-16,Journal not adhering to Best practice
"Environmental Nanotechnology, Monitoring and Management",2215-1532,16-Mar-16,Journal is no longer open access
Open Access Medical Statistics,2230-3251,15-Mar-16,has not published enough articles this calendar year
Journal of Theoretical and Applied Electronic Commerce Research,0718-1876,14-Mar-16,Journal not adhering to Best practice
Biologics in Therapy,2195-5840,11-Mar-16,Ceased publishing
Combination Products and Therapy,2190-9180,11-Mar-16,Ceased publishing
VÃ¬snik DerÅ_avnoÃ¯ AkademÃ¬Ã¯ KerÃ¬vnih KadrÃ¬v KulÊ_turi Ã¬ Mistectv,2226-3209,10-Mar-16,Other:website closed by publisher
Neerlandistiek.nl,1567-6633,4-Mar-16,Ceased publishing
PernerÂ´s Contacts,1801-674X,3-Mar-16,No OA statement or licence
Asiatic : IIUM Journal of English Language and Literature,1985-3106,3-Mar-16,Journal not adhering to Best practice
Universa Medicina,1907-3062,3-Mar-16,Journal not adhering to Best practice
Payavard Salamat,1735-8132,3-Mar-16,Journal not adhering to Best practice
Modern Rehabilitation,2008-2576,3-Mar-16,Journal not adhering to Best practice
Generics and Biosimilars Initiative Journal,2033-6403,3-Mar-16,Journal not adhering to Best practice
Oceanography,1042-8275,3-Mar-16,Journal not adhering to Best practice
Management in Health,1453-4541,3-Mar-16,Journal not adhering to Best practice
Temas Agrarios ,0122-7610,3-Mar-16,Journal not adhering to Best practice
"HistÃ_ria, CiÃªncias, SaÃºde-Manguinhos",0104-5970,3-Mar-16,Journal not adhering to Best practice
Kansas Library Association College and University Libraries Section Proceedings,2160-942X,3-Mar-16,Journal not adhering to Best practice
Spreadsheets in Education,1448-6156,3-Mar-16,Journal not adhering to Best practice
Journal of North East India Studies,2278-1455,3-Mar-16,Journal not adhering to Best practice
International Journal of Applied Mathematics and Computation,0974-4665,3-Mar-16,Journal not adhering to Best practice
Innovaciones de Negocios,2007-1191,3-Mar-16,Journal not adhering to Best practice
Medicina Balear,1579-5853,3-Mar-16,Journal not adhering to Best practice
Journal of Chain-Computerisation,1879-9523,1-Mar-16,Ceased publishing
Tropical Plant Pathology,1982-5676,26-Feb-16,Journal is no longer open access
Open Political Science Journal,1874-9496,16-Feb-16,Ceased publishing
Open Education Journal,1874-9208,16-Feb-16,Ceased publishing
Open Entomology Journal,1874-4079,16-Feb-16,Ceased publishing
Open Communication Journal,1874-916X,16-Feb-16,Ceased publishing
Open Nuclear Medicine Journal,1876-388X,16-Feb-16,Ceased publishing
Open Geology Journal,1874-2629,16-Feb-16,Ceased publishing
Open Surface Science Journal,1876-5319,16-Feb-16,Ceased publishing
Open Clinical Chemistry Journal,1874-2416,16-Feb-16,Ceased publishing
Open Mycology Journal,1874-4370,16-Feb-16,Ceased publishing
Open Marine Biology Journal,1874-4508,16-Feb-16,Ceased publishing
Open Allergy Journal,1874-8384,16-Feb-16,Ceased publishing
Open Diabetes Journal ,1876-5246,16-Feb-16,Ceased publishing
Journal of Lightning Research,1652-8034,16-Feb-16,Ceased publishing
Open Transportation Journal,1874-4478,16-Feb-16,has not published enough articles this calendar year
ournal of International Dental and Medical Research,1309-100X,15-Feb-16,Journal not adhering to Best practice
Respiratory Case Reports,2147-2475,15-Feb-16,No communication 
International Journal of Applied Science and Engineering Research,2277-9442,15-Feb-16,Suspected editorial misconduct by publisher
International Journal of Geomatics and Geosciences,0976-4380,15-Feb-16,Suspected editorial misconduct by publisher
International Journal of Advances in Computing and Information Technology,2277-9140,15-Feb-16,Suspected editorial misconduct by publisher
International Journal of Applied Engineering Research,0976-4259,15-Feb-16,Suspected editorial misconduct by publisher
International Journal of Civil and Structural Engineering,0976-4399,15-Feb-16,Suspected editorial misconduct by publisher
Asian Journal of Management Research,2229-3795,15-Feb-16,Suspected editorial misconduct by publisher
International Journal of Environmental Sciences,0976-4402,15-Feb-16,Suspected editorial misconduct by publisher
Acta Comportamentalia : Revista Latina de AnÃ¡lisis del Comportamiento,0188-8145,15-Feb-16,Journal not adhering to Best practice
International Journal of Chemical Engineering and Applications,2010-0221,10-Feb-16,Suspected editorial misconduct by publisher
International Journal of Information and Electronics Engineering,2010-3719,10-Feb-16,Suspected editorial misconduct by publisher
Journal of Clean Energy Technologies,1793-821X,10-Feb-16,Suspected editorial misconduct by publisher
"Journal of Economics, Business and Management",2301-3567,10-Feb-16,Suspected editorial misconduct by publisher
International Journal of Computer and Communication Engineering,2010-3743,10-Feb-16,Suspected editorial misconduct by publisher
International Journal of Machine Learning and Computing,2010-3700,10-Feb-16,Suspected editorial misconduct by publisher
International Journal of Information and Education Technology,2010-3689,10-Feb-16,Suspected editorial misconduct by publisher
International Proceedings of Economics Development and Research,2010-4626,10-Feb-16,Suspected editorial misconduct by publisher
International Journal of Future Computer and Communication,2010-3751,10-Feb-16,Suspected editorial misconduct by publisher
International Journal of Computer and Electrical Engineering,1793-8163,10-Feb-16,Suspected editorial misconduct by publisher
"International Journal of e-Education, e-Business, e-Management and e-Learning",2010-3654,10-Feb-16,Suspected editorial misconduct by publisher
"International Journal of Materials, Mechanics and Manufacturing",1793-8198,10-Feb-16,Suspected editorial misconduct by publisher
"International Journal of Trade, Economics and Finance",2010-023X,10-Feb-16,Suspected editorial misconduct by publisher
International Journal of Environmental Science and Development,2010-0264,10-Feb-16,Suspected editorial misconduct by publisher
International Journal of Modeling and Optimization,2010-3697,10-Feb-16,Suspected editorial misconduct by publisher
International Journal of Applied Physics and Mathematics,2010-362X,10-Feb-16,Suspected editorial misconduct by publisher
Journal of Advances in Computer Networks,1793-8244,10-Feb-16,Suspected editorial misconduct by publisher
